headline,labels
Hành khách 'đại náo' bằng miệng khiến Tề Thiên cũng phải bái phục,1
'Giật gân' về sự lạc hậu của y tế,1
Tham nhũng vặt luôn có mặt trên từng cây số,1
Đảo Ngọc ngập nhờ... nước,1
Luật 'đá' luật,1
Khi đại dương lên tiếng,1
5 năm rưỡi không tiếp dân ngày nào!,1
Mạng người chả quý bằng xe,1
Biếm họa: Tội nghiệp thằng ống hút...,1
Biếm họa: chọn ngành hay để ngành chọn mình?,1
Cử tri nhớn nhác hỏi nhau: Đại diện của tớ đi đâu mất rồi?,1
Xe công việc tư,1
Biếm họa 'thể thao khiêu dâm',1
Mày biết tao là ai không?,1
Lọc lừa có bữa cá tra 'phản thùng',1
"Chờ đủ kinh nghiệm, 'thôi rồi Lượm ơi!'",1
Luật lệ lỏng lẻo béo cho kẻ lừa,1
Tham nhũng vặt 'có mặt trên từng cây số',1
Vì sao chúng ta cần phải học tiếng Anh,1
Ôn thi xưa và nay,1
"Chim thần ăn khế trả hóa đơn tiền điện, lời quá lời!",1
Khi khẩu vị 'cãi lộn' với Michelin,1
Gỏi gà măng cụt sẽ kéo dài trong bao lâu?,1
Vì sao sếp tôi mua ô tô điện?,1
'Cục gạch' lại lên ngôi mùa cúp điện,1
Năm học thành công tốt đẹp,1
Khoe con: Con mà là số 2 thì không ai số 1,1
Con tui là học sinh giỏi nè!,1
Bạn cũ lâu ngày không gặp,1
"Cầu thủ cúp điện ra sân, đội bạn đầu hàng ngay từ đầu",1
Ông bố té ngửa vì lời nói đầu đời của con trai,1
"Cục nợ đến từ hư vô: Crush làm, cam chịu!",1
Tuổi Trẻ Cười số 15-6-2023: Cúp điện và có điện luân phiên,1
Sinh viên người nhện có việc làm 100%,1
'Giải pháp chống ngập bằng lu' qua con mắt họa sĩ biếm,1
Thủ khoa 6 giây,1
Phúc XO - Thật thật giả giả,1
Chủ tịch giả nghèo và cái kết,1
10 biện pháp vui để hạ giá xăng dầu,1
Cái kết đắng của những người cái gì cũng muốn miễn phí,1
Bán bò tậu được ếch ương,1
Con mèo mà trèo cây cau,1
Xứ hoa thành 'xứ họa',1
Biếm họa về 'đại gia điếu cày',1
"Công ty bị thanh tra, kiểm tra đến 138 lần!",1
Hỏi ra mới biết BOT ăn hết rồi,1
Tiếng gáy con gà trống làm 'dậy sóng' nước Pháp,1
Xây sân bay 'thỏa mãn khâu oai',1
Cây ngay sợ gì chết đứng?,1
Đánh thuế điện thoại,1
Biếm họa: Giang hồ cõi mạng,1
Mất bằng cưỡi ngựa thì phải học lại,1
Khi người Việt đổ thừa,1
Biếm họa siêu xe quái thú tại Việt Nam,1
Mùa xuân có hội chợ cười!,1
Hội khoe con đến hẹn lại lên: Học sinh giỏi tràn ngập mạng xã hội,1
Bi hài 'đại học mầm non' có tỉ lệ chọi cao ngất ngưởng,1
Ôtô đậu trước cửa nhà: Ai cũng có cái lý của mình,1
Văn hóa giao thông 'tiện nhưng không lợi',1
Giá như ai cũng... đầy bình,1
'Cò đặc sản' làm xấu hình ảnh Đà Lạt,1
Đi du lịch vừa chen lấn ê ẩm vừa lo 'có quà mang về',1
Quan chức bị bệnh gì lạ ghê!,1
"Quan chức, cò môi giới... cạnh tranh mua nhà ở xã hội với người nghèo",1
Bà con hụt hẫng với miếng 'bánh vẽ' 134.000 căn hộ nhà ở xã hội,1
Một cuộc 'đi săn' nhà ở xã hội,1
Bạn sẽ làm gì nếu được trở về tuổi thơ trong 24 giờ?,1
Nghịch lý từ trong bụng mẹ đến khi đi mua nhà ở xã hội,1
"Sinh viên có việc làm cao ngất ngưởng, nhiều ngành đạt 100%",1
Lý do mất ngủ của sinh viên,1
Nghịch lý lớp 1: Con gà có trước hay quả trứng có trước?,1
"Làm đẹp học bạ, làm hại học sinh",1
Làm đẹp học bạ: Xạo với nhân gian một điểm mười,1
